,horizon,mse,rmse,mae,mape,coverage
0,0 days 03:00:00.000000000,2477519.0949744824,1574.0136895765813,1269.5892640162415,0.05553834171899425,0.0
1,0 days 04:00:00.000000000,2459367.575599652,1568.2370916413283,1293.9987175496822,0.0596139868672204,0.0
2,0 days 05:00:00.000000000,2369166.3237025565,1539.2096425446914,1293.910089831724,0.06133336253840532,0.0
3,0 days 06:00:00.000000000,2261468.2374707963,1503.8178870697063,1264.6276227526603,0.059879432369656864,0.0
4,0 days 07:00:00.000000000,2479181.250109669,1574.541599993366,1371.4539750333938,0.06290809532259295,0.0
5,0 days 08:00:00.000000000,4216162.474583825,2053.329606902853,1730.2122283613712,0.07472901194055423,0.0
6,0 days 09:00:00.000000000,8018921.953490113,2831.7701095763605,2306.028760524237,0.09442511671214479,0.0
7,0 days 10:00:00.000000000,10602091.928069554,3256.0853686704154,2698.322230296597,0.10469512780476338,0.0
8,0 days 11:00:00.000000000,10412757.686083537,3226.880488348389,2776.193671511361,0.10066285006527415,0.0
9,0 days 12:00:00.000000000,8729068.386256455,2954.499684592377,2614.3026801988735,0.08944962527094422,0.0
10,0 days 13:00:00.000000000,7344101.796516431,2710.0003314605756,2396.878427857801,0.08027860770052596,0.0
11,0 days 14:00:00.000000000,7054912.585673723,2656.108541771914,2317.615065377391,0.07730808354326485,0.0
12,0 days 15:00:00.000000000,6817150.210832441,2610.967294094746,2227.088989752955,0.07500312409000116,0.0
13,0 days 16:00:00.000000000,6755418.655607074,2599.1188229103864,2203.6783446208146,0.07690730638334331,0.0
14,0 days 17:00:00.000000000,7131716.029597255,2670.5272942992465,2284.691690694541,0.08262154564531497,0.0
15,0 days 18:00:00.000000000,7805250.01027855,2793.787753262325,2423.2139370146647,0.08818173519086898,0.0
16,0 days 19:00:00.000000000,8495010.410455925,2914.620114261192,2450.8877688984267,0.085285181769126,0.0
17,0 days 20:00:00.000000000,8220139.661311893,2867.0785935010385,2356.040111800804,0.07801176019966213,0.0
18,0 days 21:00:00.000000000,7060375.839757491,2657.1367747553927,2248.063706799376,0.07266601656002902,0.0
19,0 days 22:00:00.000000000,6054623.6723188255,2460.614490796725,2135.024688323175,0.0690780573462978,0.0
20,0 days 23:00:00.000000000,5513499.999330051,2348.0843254299984,1947.7246886745686,0.06459129790096368,0.0
21,1 days 00:00:00.000000000,5269145.69250627,2295.461978013635,1810.704205903349,0.06364231781176284,0.0
